Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2015-01-02,24.261049270629883,24.729272337596463,23.82167345251905,24.71817633026032,212818400
1,2015-01-05,23.57757568359375,24.11015184940222,23.39117495671791,24.030265339880305,257142000
2,2015-01-06,23.579797744750977,23.839428081950576,23.21808887323788,23.64193132701962,263188400
3,2015-01-07,23.91043472290039,24.010292009735185,23.677432129602,23.78838542297973,160423600
4,2015-01-08,24.82912826538086,24.886824452930725,24.121245700213183,24.23885761526062,237458000
5,2015-01-09,24.855756759643555,25.13092044767605,24.456324234263423,25.00221422360769,214798000
6,2015-01-12,24.243295669555664,24.993339356300723,24.1434383783279,24.98668242928727,198603200
7,2015-01-13,24.458539962768555,25.0310592622604,24.16784292699338,24.727046682372265,268367600
8,2015-01-14,24.36534881591797,24.518463240404046,24.07686951776252,24.196699301934174,195826400
9,2015-01-15,23.704071044921875,24.42304820058189,23.668566857155415,24.409734341796163,240056000
10,2015-01-16,23.519882202148438,23.872714608651194,23.34457576901996,23.750665290329735,314053200
11,2015-01-20,24.125686645507812,24.18116329739943,23.63305370582818,23.93040774732097,199599600
12,2015-01-21,24.309871673583984,24.644949461502033,24.02582976879324,24.176726342926706,194303600
13,2015-01-22,24.942304611206055,24.957838007000497,24.347594797483953,24.467424576332416,215185600
14,2015-01-23,25.071012496948242,25.241879861856507,24.749246858725403,24.920115916646942,185859200
15,2015-01-26,25.097633361816406,25.37723612111665,25.03106240494394,25.239653434759713,222460000
16,2015-01-27,24.218881607055664,24.960050391214992,24.194471750232253,24.94673484648506,382274800
17,2015-01-28,25.58804702758789,26.211605664482956,25.58804702758789,26.102870222038018,585908400
18,2015-01-29,26.38469123840332,26.449044346198512,25.643522421911083,25.812171887408386,337745600
19,2015-01-30,25.998577117919922,26.62879102622777,25.929784923186702,26.273740817813987,334982000
20,2015-02-02,26.324771881103516,26.444601614273594,25.75891122742608,26.196067376302338,250956400
21,2015-02-03,26.329219818115234,26.42685757601918,26.0984367387742,26.295933487755963,207662800
22,2015-02-04,26.531150817871094,26.741963089882017,26.25376758602479,26.295930379029553,280598800
23,2015-02-05,26.720521926879883,26.785129027633854,26.566801525096473,26.738343227329896,168984800
24,2015-02-06,26.495500564575195,26.78957314987504,26.388564306423362,26.738332469997374,174826400
25,2015-02-09,26.671504974365234,26.698237770325253,26.384115519933175,26.410850015587748,155559200
26,2015-02-10,27.183900833129883,27.212863625618194,26.769527237525242,26.7717538371825,248034000
27,2015-02-11,27.82105827331543,27.82996977096396,27.2908369109358,27.350987395445394,294247200
28,2015-02-12,28.173063278198242,28.400302287530188,27.97478706988217,28.083949974532672,297898000
29,2015-02-13,28.311182022094727,28.355737813123717,27.99260318712347,28.355737813123717,217088800
30,2015-02-17,28.478271484375,28.712193658661604,28.275538706700655,28.402524592820477,252609600
31,2015-02-18,28.676542282104492,28.6899086782319,28.393607766315956,28.433708654392507,179566800
32,2015-02-19,28.61639404296875,28.745608222318186,28.58966124703063,28.623077241953283,149449600
33,2015-02-20,28.850318908691406,28.850318908691406,28.527285129746105,28.654269321738926,195793600
34,2015-02-23,29.630050659179688,29.630050659179688,28.885958473516727,28.966160250374262,283896400
35,2015-02-24,29.445144653320312,29.763725201645627,29.222362289234308,29.61668802549548,276912400
36,2015-02-25,28.692142486572266,29.318163857396602,28.549561893076035,29.309250658146496,298846800
37,2015-02-26,29.055269241333008,29.155520603643392,28.206469161376234,28.692132978491976,365150000
38,2015-02-27,28.61862564086914,29.08869659224438,28.56961324598533,28.961709005666517,248059200
39,2015-03-02,28.75897789001465,29.02408947783968,28.58298129776372,28.79462388824429,192386800
40,2015-03-03,28.819128036499023,28.8547740321923,28.536193469691177,28.730016446655085,151265200
